x y displacement_x displacement_y
-980000 -980000 -32.2330388862529 1e-12
-980000 -940000 -32.0418082135835 1e-12
-980000 -900000 -31.8536609513658 1e-12
-980000 -860000 -31.6689201410595 1e-12
-980000 -820000 -31.4879312180696 1e-12
-980000 -780000 -31.311062431722 1e-12
-980000 -740000 -31.1387049788066 1e-12
-980000 -700000 -30.9712727763255 1e-12
-980000 -660000 -30.8092017914006 1e-12
-980000 -620000 -30.6529488405722 1e-12
-980000 -580000 -30.5029897681812 1e-12
-980000 -540000 -30.3598169156062 1e-12
-980000 -500000 -30.2239358014322 1e-12
-980000 -460000 -30.0958609487659 1e-12
-980000 -420000 -29.9761108213065 1e-12
-980000 -380000 -29.8652018653655 1e-12
-980000 -340000 -29.7636417008964 1e-12
-980000 -300000 -29.6719215596428 1e-12
-980000 -260000 -29.5905081301096 1e-12
-980000 -220000 -29.5198350329115 1e-12
-980000 -180000 -29.4602942102538 1e-12
-980000 -140000 -29.4122275628313 1e-12
-980000 -100000 -29.3759191989071 1e-12
-980000 -60000 -29.3515886671855 1e-12
-980000 -20000 -29.3393855227807 1e-12
-980000 20000 29.3393855227807 1e-12
-980000 60000 29.3515886671855 1e-12
-980000 100000 29.3759191989071 1e-12
-980000 140000 29.4122275628313 1e-12
-980000 180000 29.4602942102538 1e-12
-980000 220000 29.5198350329115 1e-12
-980000 260000 29.5905081301096 1e-12
-980000 300000 29.6719215596428 1e-12
-980000 340000 29.7636417008964 1e-12
-980000 380000 29.8652018653655 1e-12
-980000 420000 29.9761108213065 1e-12
-980000 460000 30.0958609487659 1e-12
-980000 500000 30.2239358014322 1e-12
-980000 540000 30.3598169156062 1e-12
-980000 580000 30.5029897681812 1e-12
-980000 620000 30.6529488405722 1e-12
-980000 660000 30.8092017914006 1e-12
-980000 700000 30.9712727763255 1e-12
-980000 740000 31.1387049788066 1e-12
-980000 780000 31.311062431722 1e-12
-980000 820000 31.4879312180696 1e-12
-980000 860000 31.6689201410595 1e-12
-980000 900000 31.8536609513658 1e-12
-980000 940000 32.0418082135835 1e-12
-980000 980000 32.2330388862529 1e-12
-940000 -980000 -31.7665227051187 1e-12
-940000 -940000 -31.5683687607779 1e-12
-940000 -900000 -31.373176558508 1e-12
-940000 -860000 -31.1812809832628 1e-12
-940000 -820000 -30.993042122145 1e-12
-940000 -780000 -30.8088460211988 1e-12
-940000 -740000 -30.6291051577534 1e-12
-940000 -700000 -30.4542585409672 1e-12
-940000 -660000 -30.2847713415019 1e-12
-940000 -620000 -30.121133941148 1e-12
-940000 -580000 -29.9638602862234 1e-12
-940000 -540000 -29.813485426573 1e-12
-940000 -500000 -29.6705621272006 1e-12
-940000 -460000 -29.5356564543861 1e-12
-940000 -420000 -29.409342264894 1e-12
-940000 -380000 -29.2921945674413 1e-12
-940000 -340000 -29.184781780871 1e-12
-940000 -300000 -29.0876569828192 1e-12
-940000 -260000 -29.0013483233097 1e-12
-940000 -220000 -28.9263488643837 1e-12
-940000 -180000 -28.8631061917464 1e-12
-940000 -140000 -28.8120122175742 1e-12
-940000 -100000 -28.7733936441749 1e-12
-940000 -60000 -28.7475035759173 1e-12
-940000 -20000 -28.7345147441929 1e-12
-940000 20000 28.7345147441929 1e-12
-940000 60000 28.7475035759173 1e-12
