x y displacement_x displacement_y
765 555 -7.105485 -7.27875
765 565 -7.47808 -6.94886
765 575 -7.70327 -6.91941
765 585 -7.83438 -6.4421
765 595 -7.50267 -5.92531
765 605 -6.7813 -5.37763
765 615 -6.10602 -4.95511
765 625 -5.91024 -4.78949
765 635 -5.98681 -4.48848
765 645 -5.8313 -4.12028
765 655 -5.65509 -3.70623
765 665 -5.27827 -3.45282
765 675 -4.0627 -2.91157
765 685 -4.58969 -3.23575
765 695 -3.43277 -2.8804
765 705 -2.87244 -2.42165
765 715 -2.63517 -2.1613
765 725 -1.87081 -1.81702
765 735 -1.45703 -1.42056
765 745 -1.33252 -1.16247
765 755 -1.46666 -1.10161
765 765 -1.26964 -1.15371
765 775 -0.615044 -0.847733
765 785 -0.324583 -0.718567
765 795 -0.138351 -0.895104
765 805 0.161318 -0.934294
765 815 0.0994705 -0.792453
765 825 0.294146 -0.517007
765 835 -0.370385 -0.646005
765 845 -0.028621 -0.437098
765 855 0.420837 -0.544581
765 865 0.811018 -0.292877
765 875 1.49499 -0.408721
765 885 1.81085 -0.7312
765 895 1.40156 -0.647897
765 905 1.33648 -0.470617
765 915 1.38215 -0.346149
765 925 1.73621 -0.15822
765 935 2.00376 0.134738
765 945 1.6958 0.152055
765 955 2.07133 -0.0874367
765 965 2.16314 -0.0326523
765 975 2.25028 0.121455
765 985 2.26939 0.210929
765 995 2.4858 -0.0727306
765 1005 2.09085 -0.431171
765 1015 2.11787 -0.175547
765 1025 2.78929 0.211827
765 1035 2.73204 0.325677
765 1045 2.5836 0.510662
765 1055 2.82719 0.779283
765 1065 3.105 0.822177
765 1075 3.61155 0.828579
765 1085 3.4643 0.407683
765 1095 3.23716 0.366105
765 1105 3.09964 0.360928
765 1115 2.80886 0.804345
765 1125 2.96185 1.78696
765 1135 3.32948 1.6484
765 1145 3.64394 1.12093
765 1155 3.6584 1.00405
765 1165 3.54589 1.11528
765 1175 3.30571 1.256
765 1185 3.35877 1.31535
765 1195 3.6161 1.35567
765 1205 3.55492 1.40591
765 1215 3.34811 1.40382
765 1225 3.32506 1.42578
765 1235 3.40336 1.46521
765 1245 3.49077 1.49045
765 1255 3.44831 1.58781
765 1265 3.10547 1.67602
765 1275 2.59466 1.70539
765 1285 2.69168 1.66991
765 1295 3.08109 1.59337
765 1305 2.81221 1.81257
765 1315 2.34446 2.01524
765 1325 2.12292 1.73066
765 1335 2.16668 1.61926
765 1345 2.05453 1.82187
765 1355 2.03168 1.8896
765 1365 2.455455 2.024435
775 555 -7.39668 -7.31128
775 565 -7.1979 -6.18657
775 575 -7.27359 -5.92955
775 585 -7.4173 -5.77104
775 595 -7.06531 -5.48292
775 605 -6.65423 -5.07864
775 615 -6.53359 -4.75622
775 625 -6.42022 -4.52158
775 635 -6.25651 -4.2176
775 645 -5.88912 -3.91179
775 655 -5.66732 -3.54543
775 665 -5.54957 -3.33116
775 675 -5.32087 -3.37413
775 685 -4.56119 -3.07501
775 695 -4.16795 -3.22828
775 705 -2.94378 -2.9281
775 715 -2.61556 -2.53913
775 725 -2.29307 -1.96186
775 735 -1.86227 -1.6138
775 745 -1.51788 -1.49608
775 755 -1.34377 -1.28296
775 765 -1.2177 -1.12339
775 775 -0.739363 -0.851925
775 785 -0.285781 -0.760523
